fid,Zonizzazione,classificazione,etichetta_studio,superfici km2,ID,Macro_aree,etichetta_macroarea
123,Formazioni boschive,C3,C3,11232.0758956651,123,Formazioni boschive: Macchia; Gariga; Prateria,C
125,Giardini ornamentali,A3,A3,9686.64444188774,125,Giardini ornamentali,A
126,Aree agricole,B3,B3,10435.7720827591,126,Aree agricole,B
131,Impianti sportivi,F,F,14663.5930534136,131,Campi Malvagno e aree per attività sportive,F
132,Formazioni boschive,C4,C4,1985.9825130105,132,Formazioni boschive: Macchia; Gariga; Prateria,C
135,Edifici storici,,E1,295.933626157232,135,Costruito,E
136,Edifici storici,,E1,1134.75073445588,136,Costruito,E
137,Edifici storici,,E1,23.0090604349971,137,Costruito,E
138,Edifici storici,,E1,18.1808830397204,138,Costruito,E
139,Edifici storici,,E1,268.637244448066,139,Costruito,E
140,Edifici storici,,E1,363.875552114099,140,Costruito,E
141,Edifici storici,,E1,6.12192740756291,141,Costruito,E
142,Edifici storici,,E1,6.12192741058243,142,Costruito,E
143,Edifici storici,,E1,13.1306378822774,143,Costruito,E
144,Edifici storici,,E1,9.52741334587336,144,Costruito,E
145,Edifici storici,,E1,9.77813477069139,145,Costruito,E
146,Edifici storici,,E1,579.019609192386,146,Costruito,E
147,Edifici storici,,E1,20.3299236427993,147,Costruito,E
148,Edifici storici,,E1,609.561886934986,148,Costruito,E
149,Edifici storici,,E1,151.077543336898,149,Costruito,E
150,Edifici storici,,E1,63.1817904040217,150,Costruito,E
151,Edifici storici,,E1,57.3650582823902,151,Costruito,E
152,Edifici storici,,E1,3.95423482498154,152,Costruito,E
153,Edifici storici,,E1,4.11899460060522,153,Costruito,E
154,Edifici storici,,E1,1.62464429097417,154,Costruito,E
155,Edifici storici,,E1,3.51350327729961,155,Costruito,E
156,Edifici storici,,E1,587.458954813017,156,Costruito,E
157,Edifici storici,,E1,14.1693402696401,157,Costruito,E
158,Edifici storici,,E1,2.96925786603242,158,Costruito,E
159,Edifici storici,,E1,2.96925786975771,159,Costruito,E
160,Edifici storici,,E1,186.547473326325,160,Costruito,E
161,Edifici storici,,E1,369.312634583563,161,Costruito,E
162,Edifici storici,,E1,236.433870712295,162,Costruito,E
163,Edifici storici,,E1,506.467994101346,163,Costruito,E
164,Edifici storici,,E1,213.704184159636,164,Costruito,E
165,Edifici storici,,E1,23.8686781916767,165,Costruito,E
166,Edifici storici,,E1,52.2754143085331,166,Costruito,E
167,Edifici storici,,E1,744.961372487247,167,Costruito,E
168,Edifici storici,,E1,210.885362626985,168,Costruito,E
169,Edifici storici,,E1,422.404688421637,169,Costruito,E
170,Edifici storici,,E1,41.4657397791743,170,Costruito,E
171,Edifici storici,,E1,1524.74434661865,171,Costruito,E
172,Edifici storici,,E1,38.8367468584329,172,Costruito,E
173,Edifici storici,,E1,69.1525459419936,173,Costruito,E
174,Edifici storici,,E1,233.371490243822,174,Costruito,E
175,Edifici storici,,E1,232.08922977373,175,Costruito,E
176,Edifici da riconvertire,,E2,8.1233728164807,176,Costruito,E
177,Edifici da riconvertire,,E2,31.9920500013977,177,Costruito,E
178,Edifici da riconvertire,,E2,379.176705159247,178,Costruito,E
179,Edifici da riconvertire,,E2,36.4047461263835,179,Costruito,E
180,Edifici da riconvertire,,E2,59.3493355270475,180,Costruito,E
181,Edifici da riconvertire,,E2,333.22305908706,181,Costruito,E
182,Edifici da riconvertire,,E2,22.5577620593831,182,Costruito,E
183,Edifici da riconvertire,,E2,254.449978254735,183,Costruito,E
184,Edifici da riconvertire,,E2,120.43580955267,184,Costruito,E
185,Edifici da riconvertire,,E2,41.1541250399314,185,Costruito,E
186,Edifici da riconvertire,,E2,54.18089213036,186,Costruito,E
187,Edifici da riconvertire,,E2,20.4302114211023,187,Costruito,E
188,Edifici storici,,E1,354.233504682779,188,Costruito,E
189,Edifici da riconvertire,,E2,43.13124153018,189,Costruito,E
190,Edifici da riconvertire,,E2,97.3694384358823,190,Costruito,E
191,Edifici da riconvertire,,E2,101.753482408822,191,Costruito,E
192,Edifici da riconvertire,,E2,12.7867906335741,192,Costruito,E
193,Edifici da riconvertire,,E2,5.47346536279656,193,Costruito,E
194,Edifici da riconvertire,,E2,6.52295906189829,194,Costruito,E
195,Edifici da riconvertire,,E2,125.496798336506,195,Costruito,E
196,Edifici da riconvertire,,E2,45.330426082015,196,Costruito,E
197,Edifici da riconvertire,,E2,12.7653001043946,197,Costruito,E
198,Edifici da demolire,,E3,33.4820574149489,198,Costruito,E
199,Edifici da demolire,,E3,25.7598328478634,199,Costruito,E
200,Edifici da demolire,,E3,41.3045597970486,200,Costruito,E
201,Edifici da demolire,,E3,14.2696306183934,201,Costruito,E
202,Edifici da demolire,,E3,14.2696306072176,202,Costruito,E
203,Edifici da demolire,,E3,66.6954729864374,203,Costruito,E
204,Edifici da demolire,,E3,310.400626987219,204,Costruito,E
205,Edifici da demolire,,E3,22.6938678473234,205,Costruito,E
206,Edifici da demolire,,E3,54.2238771225093,206,Costruito,E
207,Edifici da demolire,,E3,72.6590638868511,207,Costruito,E
208,Edifici da demolire,,E3,8.30962380953133,208,Costruito,E
209,Edifici da demolire,,E3,18.1343212937936,209,Costruito,E
210,Edifici da demolire,,E3,169.799282580498,210,Costruito,E
211,Edifici da demolire,,E3,32.5436387360096,211,Costruito,E
212,Edifici da demolire,,E3,21.5118964668363,212,Costruito,E
213,Edifici da demolire,,E3,398.639844126999,213,Costruito,E
